MISSING_PROP	WHITELISTED_MARKERS	BLACKLISTED_MARKERS	STRATA
0.1	13275	4524	BMB
0.2	15010	2789	BMB
0.30000000000000004	15831	1968	BMB
0.4	16484	1315	BMB
0.5	16957	842	BMB
0.6	17294	505	BMB
0.7000000000000001	17574	225	BMB
0.8	17731	68	BMB
0.9	17795	4	BMB
1	17799	0	BMB
0.1	14916	2883	MI
0.2	15744	2055	MI
0.30000000000000004	16338	1461	MI
0.4	16799	1000	MI
0.5	17126	673	MI
0.6	17409	390	MI
0.7000000000000001	17595	204	MI
0.8	17714	85	MI
0.9	17774	25	MI
1	17799	0	MI
0.1	14370	3429	WA
0.2	15281	2518	WA
0.30000000000000004	15885	1914	WA
0.4	16372	1427	WA
0.5	17086	713	WA
0.6	17363	436	WA
0.7000000000000001	17546	253	WA
0.8	17694	105	WA
0.9	17757	42	WA
1	17799	0	WA
0.1	13953	3846	GE
0.2	14833	2966	GE
0.30000000000000004	15452	2347	GE
0.4	15967	1832	GE
0.5	16788	1011	GE
0.6	17127	672	GE
0.7000000000000001	17404	395	GE
0.8	17598	201	GE
0.9	17729	70	GE
1	17799	0	GE
0.1	14552	3247	CS
0.2	15606	2193	CS
0.30000000000000004	16281	1518	CS
0.4	16785	1014	CS
0.5	17129	670	CS
0.6	17396	403	CS
0.7000000000000001	17588	211	CS
0.8	17701	98	CS
0.9	17767	32	CS
1	17799	0	CS
0.1	14401	3398	LS
0.2	15269	2530	LS
0.30000000000000004	15903	1896	LS
0.4	16401	1398	LS
0.5	16849	950	LS
0.6	17186	613	LS
0.7000000000000001	17457	342	LS
0.8	17632	167	LS
0.9	17755	44	LS
1	17799	0	LS
0.1	14397	3402	Ma
0.2	15243	2556	Ma
0.30000000000000004	15902	1897	Ma
0.4	16410	1389	Ma
0.5	16811	988	Ma
0.6	17143	656	Ma
0.7000000000000001	17433	366	Ma
0.8	17616	183	Ma
0.9	17742	57	Ma
1	17799	0	Ma
0.1	14144	3655	VI
0.2	14994	2805	VI
0.30000000000000004	15589	2210	VI
0.4	16074	1725	VI
0.5	16867	932	VI
0.6	17188	611	VI
0.7000000000000001	17448	351	VI
0.8	17617	182	VI
0.9	17760	39	VI
1	17799	0	VI
0.1	14770	3029	BI
0.2	15603	2196	BI
0.30000000000000004	16248	1551	BI
0.4	16692	1107	BI
0.5	17312	487	BI
0.6	17498	301	BI
0.7000000000000001	17640	159	BI
0.8	17728	71	BI
0.9	17781	18	BI
1	17799	0	BI
0.1	14762	3037	AS
0.2	15511	2288	AS
0.30000000000000004	16052	1747	AS
0.4	16479	1320	AS
0.5	17154	645	AS
0.6	17397	402	AS
0.7000000000000001	17569	230	AS
0.8	17691	108	AS
0.9	17758	41	AS
1	17799	0	AS
0.1	13947	3852	HB
0.2	14758	3041	HB
0.30000000000000004	15345	2454	HB
0.4	15824	1975	HB
0.5	16629	1170	HB
0.6	16921	878	HB
0.7000000000000001	17252	547	HB
0.8	17510	289	HB
0.9	17693	106	HB
1	17799	0	HB
0.1	14710	3089	BG
0.2	15510	2289	BG
0.30000000000000004	16089	1710	BG
0.4	16564	1235	BG
0.5	17205	594	BG
0.6	17440	359	BG
0.7000000000000001	17603	196	BG
0.8	17707	92	BG
0.9	17765	34	BG
1	17799	0	BG
0.1	14318	3481	CoP
0.2	15212	2587	CoP
0.30000000000000004	15801	1998	CoP
0.4	16308	1491	CoP
0.5	17045	754	CoP
0.6	17303	496	CoP
0.7000000000000001	17509	290	CoP
0.8	17661	138	CoP
0.9	17746	53	CoP
1	17799	0	CoP
0.1	14456	3343	DH
0.2	15301	2498	DH
0.30000000000000004	15896	1903	DH
0.4	16389	1410	DH
0.5	16792	1007	DH
0.6	17104	695	DH
0.7000000000000001	17376	423	DH
0.8	17594	205	DH
0.9	17729	70	DH
1	17799	0	DH
0.1	14209	3590	HP
0.2	14992	2807	HP
0.30000000000000004	15605	2194	HP
0.4	16099	1700	HP
0.5	16871	928	HP
0.6	17169	630	HP
0.7000000000000001	17445	354	HP
0.8	17626	173	HP
0.9	17742	57	HP
1	17799	0	HP
0.1	14056	3743	JU
0.2	14967	2832	JU
0.30000000000000004	15631	2168	JU
0.4	16192	1607	JU
0.5	16613	1186	JU
0.6	16979	820	JU
0.7000000000000001	17320	479	JU
0.8	17557	242	JU
0.9	17720	79	JU
1	17799	0	JU
0.1	14327	3472	MEAN_POP
0.2	15240	2559	MEAN_POP
0.30000000000000004	15866	1934	MEAN_POP
0.4	16365	1434	MEAN_POP
0.5	16952	847	MEAN_POP
0.6	17245	554	MEAN_POP
0.7000000000000001	17485	314	MEAN_POP
0.8	17649	150	MEAN_POP
0.9	17751	48	MEAN_POP
1	17799	0	MEAN_POP
0	8100	9699	OVERALL
0.1	13962	3837	OVERALL
0.2	15090	2709	OVERALL
0.30000000000000004	15853	1946	OVERALL
0.4	16469	1330	OVERALL
0.5	17009	790	OVERALL
0.6000000000000001	17391	408	OVERALL
0.7000000000000001	17681	118	OVERALL
0.8	17799	0	OVERALL
0.9	17799	0	OVERALL
1	17799	0	OVERALL
